freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us
8991.26,2000.0,9.94,91.9,-61.29,410665.88
9000.44,2000.0,10.2,89.83,-59.81,412665.88
9000.99,2000.0,9.59,93.0,-58.75,414665.88
9005.95,2000.0,10.51,86.85,-59.07,416665.88
9003.28,2000.0,9.23,89.57,-59.72,418665.88
9008.32,2000.0,10.36,88.27,-58.3,420665.88
9000.22,2000.0,9.87,89.35,-61.62,422665.88
8999.45,2000.0,10.25,89.23,-59.58,424665.88
8995.68,2000.0,9.93,90.63,-59.81,426665.88
8991.97,2000.0,9.78,93.35,-60.49,428665.88
9000.08,2000.0,9.96,93.14,-58.71,430665.88
9004.04,2000.0,9.51,90.72,-59.43,432665.88
8996.51,2000.0,9.56,93.41,-60.3,434665.88
9008.07,2000.0,10.5,90.82,-59.55,436665.88
8993.0,2000.0,10.1,92.83,-59.32,438665.88
9000.77,2000.0,10.86,89.63,-60.62,440665.88
9000.77,2000.0,10.38,86.56,-59.72,442665.88
9004.05,2000.0,9.87,92.21,-59.36,444665.88
9010.71,2000.0,9.62,91.66,-61.02,446665.88
8991.92,2000.0,8.98,91.08,-59.82,448665.88
8997.6,2000.0,9.11,88.62,-60.0,450665.88
9003.97,2000.0,9.99,90.5,-60.38,452665.88
9008.75,2000.0,9.49,88.6,-60.49,454665.88
9002.71,2000.0,9.48,90.27,-59.84,456665.88
8996.53,2000.0,10.16,87.98,-61.12,458665.88
9000.5,2000.0,9.17,85.71,-59.47,460665.88
9005.24,2000.0,9.77,88.66,-58.99,462665.88
8994.27,2000.0,9.32,91.42,-59.99,464665.88
9005.32,2000.0,8.93,87.2,-59.99,466665.88
9002.09,2000.0,10.42,90.35,-59.84,468665.88
8998.05,2000.0,10.8,87.79,-59.64,470665.88
8995.06,2000.0,10.27,87.93,-59.26,472665.88
9000.56,2000.0,10.87,89.44,-59.58,474665.88
8996.1,2000.0,9.86,90.21,-61.53,476665.88
8992.91,2000.0,10.3,89.71,-60.59,478665.88
8996.32,2000.0,9.65,90.23,-59.55,480665.88
8989.54,2000.0,10.71,92.68,-62.33,482665.88
9005.43,2000.0,10.53,90.0,-61.3,484665.88
9005.08,2000.0,9.88,91.1,-57.78,486665.88
9001.26,2000.0,9.54,89.33,-60.79,488665.88
9002.17,2000.0,9.6,89.05,-61.28,490665.88
8999.34,2000.0,10.09,84.63,-59.74,492665.88
8999.77,2000.0,9.62,94.06,-59.04,494665.88
8994.52,2000.0,10.42,92.49,-59.87,496665.88
9001.81,2000.0,10.17,85.83,-60.19,498665.88
8998.81,2000.0,10.72,90.67,-60.3,500665.88
8999.55,2000.0,10.51,89.63,-60.7,502665.88
8998.62,2000.0,10.47,90.99,-59.96,504665.88
9000.96,2000.0,9.72,89.61,-60.66,506665.88
8998.53,2000.0,10.67,87.84,-60.69,508665.88
8997.63,2100.0,9.82,90.0,-58.85,512383.03
8994.34,2200.0,10.38,91.58,-59.21,514483.03
8995.97,2300.0,9.15,91.12,-59.81,516683.03
9005.02,2100.0,9.65,91.52,-58.95,518983.03
8999.52,2200.0,10.21,90.76,-60.82,521083.03
9002.66,2300.0,10.81,90.04,-61.46,523283.03
8996.56,2100.0,9.11,92.58,-59.24,525583.03
8997.49,2200.0,9.29,88.33,-60.64,527683.03
9000.55,2300.0,10.04,92.68,-60.69,529883.03
8992.46,2100.0,9.42,89.95,-60.73,532183.03
8998.54,2200.0,9.77,91.98,-60.59,534283.03
8998.11,2300.0,10.36,88.87,-59.58,536483.03
9001.66,2100.0,10.07,87.73,-58.77,538783.03
9011.1,2200.0,10.0,87.91,-59.97,540883.03
9004.95,2300.0,9.69,89.74,-59.66,543083.03
9006.02,2100.0,10.39,91.63,-60.43,545383.03
8995.77,2000.0,9.99,86.23,-60.39,547280.84
9002.01,2200.0,9.64,91.69,-58.85,547483.03
8994.07,2000.0,8.84,91.08,-58.36,549280.84
9002.77,2300.0,9.82,89.59,-58.19,549683.03
9005.65,2000.0,10.34,89.17,-59.19,551280.84
8998.25,2100.0,10.52,90.68,-60.33,551983.03
9006.12,2000.0,10.07,87.63,-60.5,553280.84
8993.28,2200.0,10.11,90.18,-58.19,554083.03
9008.51,2000.0,9.96,83.35,-61.47,555280.84
8995.7,2300.0,11.15,90.76,-59.62,556283.03
8997.88,2000.0,10.52,89.45,-58.95,557280.84
8997.03,2100.0,10.16,90.95,-59.06,558583.03
8997.37,2000.0,9.02,89.02,-59.66,559280.84
8995.11,2200.0,10.7,90.72,-59.39,560683.03
9001.31,2000.0,9.37,89.3,-57.32,561280.84
8998.9,2300.0,9.54,90.15,-59.81,562883.03
8993.83,2000.0,10.33,85.81,-59.14,563280.84
8993.07,2100.0,10.4,91.99,-60.73,565183.03
8995.54,2000.0,10.2,87.42,-59.71,565280.84
8995.46,2000.0,9.64,90.88,-60.43,567280.84
8994.89,2200.0,9.85,90.05,-60.26,567283.03
9001.9,2000.0,9.9,90.13,-59.55,569280.84
8999.7,2300.0,10.11,87.26,-61.25,569483.03
8998.25,2000.0,9.5,88.94,-58.8,571280.84
8986.39,2100.0,10.47,90.03,-58.95,571783.03
9000.58,2000.0,9.58,90.8,-59.53,573280.84
8994.31,2200.0,10.01,90.43,-60.56,573883.03
9002.6,2000.0,9.51,88.64,-60.68,575280.84
8992.23,2300.0,10.87,92.8,-60.38,576083.03
8998.2,2000.0,10.27,90.59,-59.62,577280.84
9002.55,2100.0,9.76,88.01,-58.17,578383.03
9006.77,2000.0,10.34,89.72,-61.18,579280.84
8991.72,2200.0,9.86,90.17,-58.35,580483.03
8996.43,2000.0,9.87,91.66,-60.03,581280.84
9004.48,2300.0,9.16,89.99,-59.98,582683.03
8996.72,2000.0,9.63,89.86,-59.11,583280.84
8998.86,2100.0,10.31,87.18,-60.41,584983.03
9007.96,2000.0,9.9,89.91,-61.21,585280.84
9002.39,2200.0,10.34,90.3,-60.29,587083.03
9009.7,2000.0,9.3,92.34,-60.37,587280.84
8997.0,2000.0,9.44,94.82,-59.78,589280.84
8999.4,2300.0,10.37,90.07,-61.04,589283.03
9000.11,2000.0,10.44,88.7,-60.0,591280.84
8993.83,2100.0,9.26,92.91,-59.19,591583.03
9000.28,2000.0,9.74,92.4,-60.22,593280.84
8999.47,2200.0,9.77,88.85,-58.91,593683.03
8992.23,2000.0,9.85,90.5,-60.89,595280.84
9009.52,2300.0,9.7,92.28,-59.97,595883.03
8995.93,2000.0,9.73,92.44,-60.49,597280.84
8998.94,2100.0,10.75,89.98,-59.7,598183.03
9007.15,2000.0,9.69,90.65,-60.45,599280.84
9001.24,2200.0,9.19,90.58,-60.56,600283.03
9003.77,2000.0,9.44,91.49,-59.89,601280.84
8992.89,2300.0,9.74,88.95,-58.97,602483.03
8996.8,2000.0,9.92,93.07,-59.86,603280.84
8994.68,2100.0,9.61,90.47,-61.33,604783.03
8996.49,2000.0,9.4,91.01,-59.8,605280.84
8996.7,2200.0,9.17,91.84,-60.3,606883.03
9003.48,2000.0,9.27,87.66,-58.85,607280.84
8999.92,2300.0,10.46,88.56,-60.31,609083.03
9001.66,2000.0,10.27,88.07,-60.98,609280.84
9004.96,2000.0,10.52,87.82,-61.28,611280.84
8994.72,2100.0,9.47,88.16,-60.49,611383.03
8999.46,2000.0,9.6,88.36,-61.25,613280.84
8998.08,2200.0,10.14,88.22,-59.68,613483.03
8997.66,2000.0,9.42,87.81,-59.7,615280.84
9002.43,2300.0,9.77,88.39,-59.91,615683.03
8999.72,2000.0,10.24,86.7,-59.99,617280.84
8998.99,2100.0,10.11,93.14,-59.93,617983.03
9010.38,2000.0,9.81,91.65,-59.18,619280.84
8996.8,2200.0,9.55,88.3,-61.46,620083.03
9004.33,2000.0,10.08,91.13,-59.3,621280.84
9003.18,2000.0,9.44,86.59,-61.55,623280.84
8998.65,2000.0,10.3,87.79,-59.08,625280.84
8997.49,2000.0,9.75,88.33,-61.88,627280.84
9001.15,2000.0,10.86,89.87,-61.85,629280.84
9003.9,2000.0,9.19,87.58,-60.24,631280.84
9000.61,2000.0,9.5,89.45,-59.28,633280.84
9004.26,2000.0,10.63,93.82,-59.19,635280.84
8998.92,2000.0,10.43,90.93,-59.49,637280.84
9000.89,2000.0,9.54,87.94,-60.1,639280.84
9000.74,2000.0,9.66,90.85,-57.92,641280.84
8991.28,2000.0,10.29,89.87,-59.55,643280.84
8997.85,2000.0,9.93,90.26,-60.3,645280.84
