freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us
8486.91,3031.12,20.66,152.83,-52.21,159741.35
8494.68,2958.08,22.48,151.27,-53.02,162772.47
8493.15,3017.97,20.14,146.9,-50.68,165730.55
8512.67,3064.48,21.37,147.15,-50.44,168748.52
8504.94,2987.17,20.25,144.71,-52.81,171813.0
8490.46,2951.28,21.31,147.55,-50.92,174800.18
8482.59,3094.14,20.99,148.67,-50.51,177751.45
8497.98,2954.68,21.13,146.29,-51.24,180845.59
10773.32,2632.17,20.45,235.49,-47.51,199288.54
10747.39,2156.13,20.47,234.92,-46.75,201920.71
10743.61,2936.29,20.72,232.32,-48.46,204076.83
10730.23,2601.37,19.17,234.93,-47.77,207013.12
10743.77,2203.45,22.05,234.44,-47.42,209614.49
10742.02,2928.26,20.86,236.84,-48.53,211817.94
10748.51,2515.33,20.13,236.13,-49.35,214746.21
10724.36,2094.56,19.96,234.26,-47.92,217261.53
10751.39,4203.41,44.77,263.37,-37.16,253163.91
10754.25,4244.73,44.03,262.1,-39.14,257367.32
10725.88,4155.01,47.07,261.96,-38.92,261612.05
10763.43,4239.82,45.62,261.58,-37.95,265767.06
10749.21,4155.31,46.87,258.79,-36.49,270006.88
10732.63,4202.97,46.67,264.12,-39.75,274162.19
10732.59,4104.07,44.46,260.55,-37.16,278365.16
10744.47,4234.78,46.75,261.3,-39.76,282469.23
11166.72,2699.24,20.12,14.71,-68.47,388122.54
11178.73,2900.84,20.58,19.64,-69.47,390821.78
11173.93,2771.88,19.94,17.45,-68.22,393722.62
11175.68,2857.75,19.15,20.12,-66.86,396494.5
11197.26,2747.34,21.12,14.18,-70.35,399352.25
11185.58,2819.86,20.57,17.65,-69.91,402099.59
11161.5,2747.23,20.62,20.34,-68.5,404919.44
11181.54,2890.06,21.38,20.51,-67.64,407666.67
10538.28,4364.21,43.35,307.51,-61.0,505454.53
10543.35,5944.93,43.23,301.87,-60.67,509818.74
10525.42,4555.8,45.67,305.65,-59.86,515763.67
10536.72,4376.66,48.99,302.22,-58.65,520319.47
10656.71,5229.68,21.71,211.26,-48.32,521268.63
10521.2,5938.5,42.89,303.24,-60.28,524696.12
10537.97,5227.19,20.78,211.79,-47.75,526498.31
10529.21,4352.58,42.93,301.9,-59.88,530634.63
10706.57,5183.63,20.77,212.32,-48.29,531725.5
10534.37,4298.82,49.19,301.43,-60.73,534987.21
10649.48,5229.87,21.27,211.79,-47.42,536909.13
10529.02,5920.77,46.24,303.65,-62.22,539286.03
10535.81,5315.26,22.79,211.56,-48.94,542139.0
10701.45,5311.91,21.56,216.08,-48.63,547454.27
10635.66,5339.85,21.16,214.15,-49.51,552766.18
10561.95,5285.67,22.05,214.49,-47.95,558106.03
10098.49,4872.92,25.28,351.0,-52.92,659406.07
9537.97,5674.81,13.1,306.72,-49.81,661120.42
10117.39,4777.73,24.15,351.25,-52.88,664279.0
9659.98,5647.27,13.59,303.48,-51.15,666795.23
10102.39,4905.63,24.32,350.64,-51.03,669056.73
9528.55,5504.75,12.57,307.14,-51.83,672442.5
10095.77,4898.76,22.67,353.07,-50.68,673962.36
9646.53,5674.47,11.82,300.86,-51.95,677947.24
10118.69,4952.43,24.8,353.64,-53.13,678861.11
9535.08,5706.23,13.65,304.4,-51.9,683621.71
10128.38,4716.59,26.4,352.61,-54.29,683813.54
10105.37,4668.91,20.85,349.36,-53.76,688530.13
9646.57,5577.3,11.23,303.7,-51.77,689327.94
10108.93,4697.0,24.53,352.23,-53.95,693199.04
9529.91,5517.63,12.68,304.59,-50.83,694905.25
9658.6,5688.09,13.24,304.83,-49.46,700422.87
10281.91,4718.37,48.53,250.37,-59.87,719058.01
10279.85,4822.84,48.17,255.59,-61.85,723776.38
9565.17,3783.5,43.15,223.63,-60.82,726963.47
10303.21,4910.54,51.74,257.04,-60.61,728599.22
9562.16,3924.15,46.37,219.1,-62.66,730746.97
10300.19,4745.28,52.52,254.58,-59.76,733509.76
9563.88,3821.86,47.01,223.52,-59.72,734671.13
10302.17,4652.76,47.21,256.42,-60.32,738255.05
9554.17,3887.97,47.35,221.37,-62.45,738492.99
9571.64,3746.27,54.79,220.89,-61.27,742380.96
10283.15,4766.02,44.18,258.04,-59.93,742907.81
9555.01,3799.01,43.42,223.22,-63.11,746127.23
10304.53,4811.83,48.36,254.48,-61.56,747673.83
9564.31,3841.44,47.97,217.72,-61.14,749926.24
10288.43,4676.67,47.38,256.43,-62.35,752485.66
9578.65,3801.71,46.78,221.56,-61.75,753767.68
8087.08,5196.38,30.21,95.03,-32.3,1058237.36
8088.02,5397.11,32.04,93.8,-33.11,1063433.74
8086.53,5187.92,32.3,96.34,-33.26,1068830.85
8075.74,5557.4,30.65,96.07,-31.22,1074018.77
8097.72,5326.69,29.12,90.43,-32.18,1079576.17
8088.41,5352.37,33.35,93.65,-31.41,1084902.86
9907.89,4987.96,21.75,62.17,-48.95,1087420.53
8088.55,5211.09,34.52,90.56,-32.55,1090255.23
9909.61,4902.8,20.78,61.8,-47.19,1092408.49
8083.53,5585.13,35.91,93.55,-31.97,1095466.32
9906.34,5046.57,19.06,61.0,-46.67,1097311.29
9884.37,4870.73,23.72,63.09,-46.43,1102357.86
9889.56,5011.47,20.8,64.22,-46.58,1107228.59
9901.24,4990.36,20.01,63.75,-46.61,1112240.06
9900.99,4847.0,20.72,65.83,-46.2,1117230.42
8888.95,2753.54,22.02,330.41,-77.41,1120694.41
9913.99,5094.32,21.24,64.06,-49.1,1122077.42
8881.25,2570.56,23.37,330.3,-77.66,1123447.95
8875.76,2854.76,22.62,329.52,-78.02,1126018.51
8860.98,2573.95,25.07,324.84,-76.55,1128873.27
8882.34,2820.9,20.8,328.71,-78.85,1131447.22
8887.98,2568.78,22.4,329.2,-78.74,1134268.13
8885.67,2800.31,20.57,329.01,-77.29,1136836.9
8890.47,2644.83,24.02,329.69,-79.06,1139637.22
9608.75,3535.56,36.89,8.57,-63.68,1167269.3
9547.56,3602.42,36.93,8.64,-61.11,1170804.86
9613.11,3519.49,37.54,6.28,-61.95,1174407.28
9516.43,3459.46,39.33,8.1,-62.88,1177926.77
9602.58,3679.98,35.36,6.33,-61.48,1181386.23
9528.32,3529.6,36.7,4.98,-62.03,1185066.21
9618.18,3429.17,37.6,8.72,-63.11,1188595.81
9541.48,3519.34,36.02,6.81,-61.69,1192024.98
10796.86,2916.2,22.19,218.76,-78.56,1225985.96
10813.75,2841.7,23.12,221.35,-78.86,1228902.16
10805.94,2963.47,25.65,219.0,-78.08,1231743.86
10791.99,2832.77,21.88,220.93,-78.96,1234707.32
10781.31,2879.3,21.38,219.66,-78.13,1237540.09
10789.76,2857.41,24.68,223.4,-78.41,1240419.39
10780.97,2918.77,25.49,223.32,-79.79,1243276.8
10789.13,2830.09,21.58,222.86,-77.38,1246195.57
9264.26,2944.77,24.21,242.35,-48.13,1290340.14
9280.53,2888.53,23.54,241.23,-50.08,1293284.91
9275.04,2911.54,27.45,241.88,-50.83,1296173.43
9273.07,2958.77,24.24,239.94,-52.0,1299084.98
9798.8,5506.14,46.9,21.95,-66.72,1301043.56
9264.93,2988.92,26.04,244.06,-51.01,1302043.74
9266.19,2806.7,26.47,244.5,-51.42,1305032.66
9762.81,5443.06,44.92,24.4,-67.19,1306549.7
9284.08,2904.23,23.83,241.18,-49.73,1307839.36
9267.28,2884.18,25.94,243.18,-50.53,1310743.59
9788.92,5433.75,43.3,23.82,-65.94,1311992.76
9776.45,5611.95,49.74,23.39,-68.37,1317426.52
9760.52,5426.48,50.18,24.11,-69.04,1323038.47
9773.54,5626.94,44.8,25.37,-69.35,1328464.95
9761.58,5351.6,50.3,27.6,-66.18,1334091.88
9780.62,5390.3,50.06,24.75,-68.42,1339443.49
8392.51,2833.21,16.69,76.0,-54.5,1391601.12
8406.7,2782.0,17.21,72.67,-53.04,1394434.34
8392.94,2799.79,17.19,74.59,-53.62,1397216.34
8401.44,2822.75,17.32,68.6,-54.47,1400016.13
8410.35,2856.74,16.43,74.03,-54.62,1402838.88
8406.75,2886.19,16.68,74.83,-55.15,1405695.62
8389.78,2797.94,16.75,75.54,-52.67,1408581.81
8395.44,2771.6,17.54,75.23,-54.21,1411379.75
11439.66,4952.73,13.37,248.05,-34.49,1971688.9
10339.27,2499.52,43.36,213.41,-47.32,1974558.0
11554.97,5019.55,15.81,245.77,-34.96,1976641.63
10365.07,2526.7,43.28,218.81,-49.43,1977057.51
10337.15,2489.02,46.0,214.13,-47.7,1979584.21
11462.28,5195.08,14.17,242.79,-32.85,1981661.18
10331.06,2520.55,46.92,214.79,-50.51,1982073.23
10324.63,2525.5,46.27,213.38,-48.96,1984593.78
11403.81,4908.05,14.12,246.36,-33.2,1986856.25
10335.0,2519.06,49.72,210.44,-47.79,1987119.28
10335.07,2438.73,45.95,217.9,-47.26,1989638.34
11440.47,4971.2,15.45,247.28,-33.15,1991764.3
10322.69,2447.78,42.63,215.48,-48.72,1992077.07
11544.9,5014.63,15.03,247.01,-34.63,1996735.5
