freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us,toa_hms
10444.51,3816.12,19.89,270.96,-63.5,28786.98,00:00:00
10445.83,3531.63,18.61,275.91,-60.88,32603.1,00:00:00
10445.6,3644.14,19.97,277.52,-61.8,36134.73,00:00:00
10455.98,3663.51,19.97,274.12,-62.08,39778.87,00:00:00
10427.91,3772.61,19.3,277.05,-61.51,43442.38,00:00:00
10447.59,3710.72,19.8,271.85,-61.99,47214.99,00:00:00
10455.73,3644.23,19.29,272.11,-61.25,50925.71,00:00:00
10461.41,3705.03,20.49,271.57,-61.32,54569.93,00:00:00
10452.4,3626.16,18.13,270.38,-62.87,58274.97,00:00:00
10458.5,3792.64,19.47,272.01,-61.94,61901.12,00:00:00
10447.0,3746.89,19.39,274.72,-62.44,65693.77,00:00:00
10455.42,3658.46,19.3,276.65,-61.14,69440.65,00:00:00
10428.96,3645.53,21.11,270.43,-61.43,73099.11,00:00:00
10453.55,3626.97,19.9,268.64,-60.43,76744.64,00:00:00
10443.79,3737.54,20.52,275.54,-62.63,80371.61,00:00:00
10448.92,3719.53,20.78,275.13,-62.68,84109.15,00:00:00
10440.24,3778.46,17.88,275.96,-62.5,87828.68,00:00:00
10446.84,3628.2,19.86,275.37,-61.43,91607.14,00:00:00
10451.81,3684.94,18.47,271.14,-62.54,95235.34,00:00:00
10451.46,3683.52,20.89,273.77,-62.15,98920.28,00:00:00
11599.95,3575.8,30.35,223.92,-34.17,233796.08,00:00:00
11610.77,3603.87,31.87,223.75,-34.27,237371.88,00:00:00
11587.38,3477.79,34.14,225.53,-35.02,240975.74,00:00:00
11606.59,3626.57,31.04,223.87,-35.23,244453.54,00:00:00
11607.94,3604.41,33.94,226.74,-36.31,248080.11,00:00:00
11601.11,3460.73,30.93,225.07,-33.84,251684.51,00:00:00
11589.39,3371.18,32.03,230.01,-34.88,255145.24,00:00:00
11598.77,3661.58,32.68,225.16,-34.23,258516.42,00:00:00
11600.8,3454.97,29.61,228.5,-34.49,262178.0,00:00:00
11599.3,3529.18,32.98,229.8,-34.15,265632.97,00:00:00
11592.42,3526.13,33.44,223.56,-33.82,269162.16,00:00:00
11575.09,3519.31,32.74,227.27,-35.49,272688.29,00:00:00
11583.27,3517.13,29.96,224.43,-34.68,276207.6,00:00:00
11585.11,3592.45,31.49,226.89,-36.52,279724.73,00:00:00
11588.13,3572.1,30.47,224.4,-34.68,283317.18,00:00:00
11599.88,3487.65,31.98,223.16,-34.0,286889.27,00:00:00
